date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:03	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202015%2017:56:27%20GMT	http://www.kouthair.tn/robots.txt		(from )
18:01:03	71442/71442	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2022:30:42%20GMT	http://www.kouthair.tn/	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/index.html	(from )
18:01:04	99965/99965	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2020:02:14%20GMT	http://www.kouthair.tn/crypto/bootstrap/css/bootstrap.min.css	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/bootstrap/css/bootstrap.min.css	(from http://www.kouthair.tn/)
18:01:04	20786/20786	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2020:02:17%20GMT	http://www.kouthair.tn/crypto/font-awesome/css/font-awesome.min.css	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/font-awesome/css/font-awesome.min.css	(from http://www.kouthair.tn/)
18:01:04	5705/5705	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2020:02:11%20GMT	http://www.kouthair.tn/crypto/nivo-lightbox/nivo-lightbox.css	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/nivo-lightbox.css	(from http://www.kouthair.tn/)
18:01:04	2837/2837	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2020:02:26%20GMT	http://www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/nivo-lightbox/themes/default/default.css	(from http://www.kouthair.tn/)
18:01:05	68760/68760	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2020:02:08%20GMT	http://www.kouthair.tn/crypto/animate.css	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/animate.css	(from http://www.kouthair.tn/)
18:01:05	13862/13862	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2020:02:28%20GMT	http://www.kouthair.tn/css/styles.css	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/css/styles.css	(from http://www.kouthair.tn/)
18:01:05	336/336	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202015%2017:56:29%20GMT	http://www.kouthair.tn/favicon-vertica.ico	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/favicon-vertica.ico	(from http://www.kouthair.tn/)
18:01:05	341/341	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202015%2017:56:30%20GMT	http://www.kouthair.tn/apple-touch-icon-144.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/apple-touch-icon-144.png	(from http://www.kouthair.tn/)
18:01:05	354/354	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202015%2017:56:30%20GMT	http://www.kouthair.tn/apple-touch-icon-114-precomposed.html	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/apple-touch-icon-114-precomposed.html	(from http://www.kouthair.tn/)
18:01:06	353/353	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202015%2017:56:30%20GMT	http://www.kouthair.tn/apple-touch-icon-72-precomposed.html	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/apple-touch-icon-72-precomposed.html	(from http://www.kouthair.tn/)
18:01:06	340/340	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202015%2017:56:30%20GMT	http://www.kouthair.tn/apple-touch-icon-57.png	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/apple-touch-icon-57.png	(from http://www.kouthair.tn/)
18:01:06	323/323	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202015%2017:56:31%20GMT	http://www.kouthair.tn/CV.pdf	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/CV-2.pdf	(from http://www.kouthair.tn/)
18:01:09	29110/29110	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:17%20GMT	http://www.kouthair.tn/crypto/bootstrap/js/bootstrap.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/bootstrap/js/bootstrap.min.js	(from http://www.kouthair.tn/)
18:01:10	5555/5555	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2013%20Jan%202014%2018:19:14%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	C:/Mes%20Sites%20Web/greatcv/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.3/jquery.easing.min.js	(from http://www.kouthair.tn/)
18:01:11	2777/2777	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:08%20GMT	http://www.kouthair.tn/crypto/jquery.mousewheel.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/jquery.mousewheel.min.js	(from http://www.kouthair.tn/)
18:01:14	56878/56878	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2014%20Jan%202015%2020:02:09%20GMT	http://www.kouthair.tn/crypto/jquery.nicescroll.min.js	C:/Mes%20Sites%20Web/greatcv/www.kouthair.tn/crypto/jquery.nicescroll.min.js	(from http://www.kouthair.tn/)
